autor_comentario,nota_comentario,conteudo_comentario,criticas_autor,seguidores_autor,conteudo_tokens,conteudo_stem,conteudo_lema
Fabio M.,0.5,O filme é muito ruim e cansativo. Leonardo DiCaprio quase não fala. Existem histórias paralelas que não se fecham na conclusão do filme. Não percam seu  tempo e dinheiro.,1.0,,filme ruim cansativo leonardo dicaprio quase fala existem histórias paralelas fecham conclusão filme percam   dinheiro,film ruim cans leonard dicapri quas fal exist histór paralel fech conclus film perc   dinh,filme ruim cansativo Leonardo dicaprio quase falar existir história paralelo fechar conclusão filme percar    dinheiro
Júlia O.,0.5,"O filme têm fotografias belíssimas, mas encerra-se aí. O roteiro é péssimo, com cenas tão inverossímeis que causam imenso desconforto ou uma certa angústia em continuar assistindo ao filme. A atuação de Leonardo DiCaprio é mediana. Concordo plenamente com crítica de André Barcinski, ao final, eu apenas torcia para que o filme terminasse logo.",1.0,7.0,filme fotografias belíssimas encerra-se roteiro péssimo cenas inverossímeis causam imenso desconforto certa angústia continuar assistindo filme atuação leonardo dicaprio mediana concordo plenamente crítica andré barcinski torcia filme terminasse,film fotograf bel encerra-s rot péss cen inverossímel caus imens desconfort cert angúst continu assist film atu leonard dicapri medi concord plen crít andré barcinsk torc film termin,filme fotografia belíssimo encerra-se roteiro péssimo cena inverossímel causar imenso desconforto certo angústia continuar assistir filme atuação Leonardo dicaprio mediano concordar plenamente crítico André Barcinski torcia filme terminar
Tatiana S.,2.0,"O cenário e produção do filme são realmente muito bons e a atuação de Leonardo DiCaprio excelente. Entretanto, o filme foi cansativo e o enredo deixou demais a desejar, já que em vários momentos o tornou entediante. A música  "" Casa"" de Lulu Santos poderia em português retratar de forma cômica o enredo do filme: Bem "" viajante"" para ser "" O Regresso"". Se o tivessem encurtado, talvez teria tido um impacto melhor após o filme.",1.0,,cenário produção filme realmente bons atuação leonardo dicaprio excelente entretanto filme cansativo enredo deixou desejar momentos tornou entediante música   casa lulu santos poderia português retratar cômica enredo filme viajante regresso tivessem encurtado teria tido impacto melhor filme,cen produç film real bom atu leonard dicapri excel entretant film cans enred deix desej moment torn entedi músic   cas lulu sant pod portugu retrat cômic enred film viaj regress tiv encurt ter tid impact melhor film,cenário produção filme realmente bom atuação Leonardo dicaprio excelente entretanto filme cansativo enredo deixar desejar momento tornar entediante música    casa Lulu Santos poder português retratar cômica enredo filme viajante regresso ter encurtar ter ter impacto bom filme
Paulo R.,2.5,"assisti ao filme, e na minha opinião tirando as locações que são realmente lindas, parece que o filme foi feito todo em externa, as cenas de luta muito bem coreografadas e só. Leonardo di caprio concorre ao oscar? não sei porque, quase não atua, quase não tem texto, a maior parte do filme, e o filme é longo, muito longo, ele atua sozinho, mas dirão os entendidos, é isto que faz dele um merecedor do oscar, por atuar sozinho, etc.. Balela, quase sempre com o mesmo olhar, nas cenas emocionantes sempre o mesmo olhar, e olha que admiro a evolução dele como ator, mas neste filme não vi nada demais, e o filme tb não é tudo isto. Minha opinião, abraços.",5.0,1.0,assisti filme opinião tirando locações realmente lindas filme feito externa cenas luta coreografadas leonardo di caprio concorre oscar quase atua quase texto filme filme longo longo atua sozinho dirão entendidos dele merecedor oscar atuar sozinho etc .. balela quase olhar cenas emocionantes olhar olha admiro evolução dele ator filme vi filme tb opinião abraços,assist film opin tir loc real lind film feit extern cen lut coreograf leonard di capri concorr osc quas atu quas text film film long long atu so dir entend del merec osc atu so etc .. balel quas olh cen emocion olh olh admir evoluç del at film vi film tb opin abraç,assisti filme opinião tirar locação realmente lindo filme fazer externo cena lutar coreografar Leonardo di caprio concorrer oscar quase atuar quase texto filme filme longo longo atuar sozinho dir entendido de ele merecedor oscar atuar sozinho etc .. balela quase olhar cena emocionante olhar olhar admirar evolução de ele ator filme ver filme tb opinião abraço
Alexandre C.,4.5,"Filme excepcional, tem visuais belíssimos, uma história muito boa de vingança e superação, a direção é única, Di Caprio em mais uma boa atuação, o melhor do ano que foi lançado, sem dúvida.",525.0,5207.0,filme excepcional visuais belíssimos história vingança superação direção única di caprio atuação melhor ano lançado dúvida,film excepc visual bel histór vinganç super direç únic di capri atu melhor ano lanç dúv,filme excepcional visual belíssimo história vingança superaçãor direção único di caprio atuação bom ano lançar dúvida
Francisco Vinicius M.,0.5,"Filme longo, cansativo, história fraca e alguns erros de continuidade infantis. Bela fotografia e belas paisagens e só. E a atuação do Di Caprio longe de outros trabalhos. Mal fala, passa o filme gemendo. Perdi minha novela pra isso.",2.0,2.0,filme longo cansativo história fraca erros continuidade infantis bela fotografia belas paisagens atuação di caprio trabalhos fala passa filme gemendo perdi novela pra,film long cans histór frac err continu infantil bel fotograf bel pais atu di capri trabalh fal pass film gem perd novel pra,filme longo cansativo história fraco erro continuidade infantis belo fotografia belo paisagem atuação di caprio trabalho falar passar filme gemer perdi novela pra
Jake D.,4.5,"O Regresso... mais um dos grandes concorrentes ao óscar 2016, que conta a história de Hugh Glass (Leonardo DiCaprio) indo ao oeste americano para ganhar dinheiro caçando, porém, ele é atacado por um urso e fica muito ferido, então ele é abandonado por seu parceiro John Fitzgerald (Tom Hardy), que também o rouba, então, Hugh sobrevive e parte em busca de uma vingança. No quesito atuações, todos estão muito bem, mas o principal destaque, é o Leonardo DiCaprio, se ele não ganhar o óscar, será a maior injustiça de todos os tempos. Alejandro González Iñárritu também faz um bom trabalho na direção, ele já provou que é competente em Birdman, e aqui, demonstra mais uma vez, mas ainda assim, não acho que deveria ganhar o óscar, o que Tom McCarthy fez no filme Spotlight, foi excepcional. O roteiro do filme é muito bem estruturado e bem escrito, tendo ótimos diálogos. A trilha sonora é muito boa e a fotografia também é belíssima, inclusive é outra categoria que eu acho que o filme deveria levar o óscar. O único mini probleminha do filme que as vezes sai fora do eixo, é a edição, que não é tão leve e precisa quanto deveria ser, mas nada que deixe de ser um ótimo filme. O regresso é um filme maravilhoso, e conta com a impecável atuação de Leonardo DiCaprio, que merece e deve levar o óscar com certeza. Recomendo!",109.0,100.0,regresso ... concorrentes óscar 2016 conta história hugh glass leonardo dicaprio indo oeste americano ganhar dinheiro caçando atacado urso fica ferido abandonado parceiro john fitzgerald tom hardy rouba hugh sobrevive busca vingança quesito atuações principal destaque leonardo dicaprio ganhar óscar será injustiça tempos alejandro gonzález iñárritu trabalho direção provou competente birdman demonstra acho deveria ganhar óscar tom mccarthy filme spotlight excepcional roteiro filme estruturado escrito tendo ótimos diálogos trilha sonora fotografia belíssima categoria acho filme deveria levar óscar único mini probleminha filme sai eixo edição leve precisa deveria deixe ótimo filme regresso filme maravilhoso conta impecável atuação leonardo dicaprio merece levar óscar recomendo,regress ... concorr ósc 2016 cont histór hugh glas leonard dicapri ind oest americ ganh dinh caç atac urs fic fer abandon parc john fitzgerald tom hardy roub hugh sobreviv busc vinganç quesit atu princip destaqu leonard dicapri ganh ósc ser injustiç temp alejandr gonzál iñárritu trabalh direç prov compet birdman demonstr ach dev ganh ósc tom mccarthy film spotlight excepc rot film estrutur escrit tend ótim diálog trilh son fotograf bel categor ach film dev lev ósc únic min probl film sai eix ediç lev precis dev deix ótim film regress film maravilh cont impec atu leonard dicapri merec lev ósc recom,regresso ... concorrente Óscar 2016 contar história hugh glass Leonardo dicaprio ir oeste americano ganhar dinheiro caçar atacar urso ficar ferir abandonar parceiro John fitzgerald tom hardy rouba hugh sobreviver busca vingança quesito atuação principal destaque leonardo dicaprio ganhar óscar ser injustiço tempo alejandro González iñárritu trabalho direção provar competente birdman demonstrar acho dever ganhar óscar tom Mccarthy filme spotlight excepcional roteiro filme estruturar escrever ter ótimo diálogo trilha sonoro fotografia belíssimo categoria achar filme dever levar óscar único mini probleminha filme sair eixo edição leve precisar dever deixar ótimo filme regresso filme maravilhoso contar impecável atuação Leonardo dicaprio merecer levar óscar recomendar
Osmar P.,0.5,O filme é muito ruim e cansativo. Leonardo DiCaprio quase não fala. Existem histórias paralelas que não se fecham na conclusão do filme. Não percam seu tempo e dinheiro.,1.0,,filme ruim cansativo leonardo dicaprio quase fala existem histórias paralelas fecham conclusão filme percam dinheiro,film ruim cans leonard dicapri quas fal exist histór paralel fech conclus film perc dinh,filme ruim cansativo Leonardo dicaprio quase falar existir história paralelo fechar conclusão filme percar dinheiro
Denise M,4.5,"Achei o filme bem tenso, mas gostei bastante. DiCaprio está impecável! Sua atuação é perfeita! Digna de Oscar.",7.0,7.0,achei filme tenso gostei dicaprio impecável atuação perfeita digna oscar,ach film tens gost dicapri impec atu perfeit dign osc,achei filme tenso gostar dicaprio impecável atuação perfeito digna oscar
Carlotha S.,3.0,"Assisti o filme com bastante atenção, porque gosto muito do Di Caprio (tem todo meu respeito).O filme é demasiadamente longo, e o que podemos observar é a luta pela sobrevivência de todas formas possível. O texto não tem muitas falas, em especial do Leo di Caprio, quase não fala no filme, o que me irritou bastante, a atuação é baseada em sua performance, que é ótima por sinal.Mas senti falta de diálogos no filme, que se tornou moroso demais.Leo di Caprio merece o Oscar? Com certeza, claro, óbvio, evidente.Por esta atuação? Não, pelo conjunto da obra sim.O filme é bom, mas poderia ser bem melhor",3.0,1.0,assisti filme atenção gosto di caprio respeito).o filme demasiadamente longo podemos observar luta sobrevivência formas texto muitas falas especial leo di caprio quase fala filme irritou atuação baseada performance ótima sinal senti diálogos filme tornou moroso leo di caprio merece oscar claro óbvio evidente atuação conjunto obra filme poderia melhor,assist film atenç gost di capri respeito). film demasiad long pod observ lut sobreviv form text muit fal espec leo di capri quas fal film irrit atu base performanc ótim sinal sent diálog film torn mor leo di capri merec osc clar óbvi evid atu conjunt obr film pod melhor,assisti filme atenção gostar di caprio respeito).o filme demasiadamente longo poder observar luta sobrevivência forma texto muitas fala especial leo di caprio quase falar filme irritar atuação basear performance ótimo sinal sentir diálogo filme tornar moroso leo di caprio merecer oscar claro óbvio evidente atuação conjunto obra filme poder bom
Maurício  P.,5.0,Realmente um dos melhores filmes dos últimos tempos!!! Excelente qualidade em todos os detalhes!!! Vale cada R$ pago para assistir!!!,2.0,,realmente melhores filmes últimos tempos excelente qualidade detalhes vale r$ pago assistir,real melhor film últ temp excel qual detalh val r$ pag assist,realmente bom filme último tempo excelente qualidade detalhe valer R$ pagar assistir
Renato P.,2.0,"Filme extremamente cansativo, sem ação, sem emoção, sem enredo, parece que foi feito apenas para o Di Caprio parecer um bom ator...achei péssimo, poderia ter contado a história em 30 minutos. Para não dizer que sou injusto, foi uma grande produção, tudo muito bem feito.",3.0,,filme extremamente cansativo ação emoção enredo feito di caprio parecer ator ... achei péssimo poderia contado história 30 minutos injusto produção feito,film extrem cans açã emoç enred feit di capri parec at ... ach péss pod cont histór 30 minut injust produç feit,filme extremamente cansativo ação emoção enredo fazer di caprio parecer ator ... achar péssimo poder contar história 30 minuto injusto produção fazer
Elvira A.,4.5,"Cada vez mais, Leonardo Di Caprio assume projetos mais audaciosos, como aconteceu neste filme, ambientado no ano 1822. O personagem Hugh Glass é gravemente ferido por um urso e deixado à mercê do seu grupo de caçadores de peles. Um dos membros do grupo promete recompensar aqueles que lhe prestarem os devidos socorros, mas não é isso o que acontece. Pelo contrário, ele é amordaçado e enterrado vivo por outro membro, além de ter o seu filho assassinado e ser roubado dos seus pertences. A duras penas, Hugh consegue sobreviver e conta com a ajuda de um índio (o que lembrou a história do Bom Samaritano). Ele parte para a vingança, mas o final é inesperado. Bons roteiro e fotografia das paisagens geladas do norte dos EUA. O filme ganhou três Óscares: Melhor filme, ator (Leonardo Di Caprio) e diretor (Alejandro González Iñárritu). O enredo é para estômagos fortes.",266.0,929.0,leonardo di caprio assume projetos audaciosos aconteceu filme ambientado ano 1822 personagem hugh glass gravemente ferido urso deixado mercê caçadores peles membros promete recompensar prestarem devidos socorros acontece contrário amordaçado enterrado vivo outro membro filho assassinado roubado pertences duras penas hugh consegue sobreviver conta ajuda índio lembrou história samaritano vingança inesperado bons roteiro fotografia paisagens geladas norte eua filme ganhou óscares melhor filme ator leonardo di caprio diretor alejandro gonzález iñárritu enredo estômagos fortes,leonard di capri assum projet audaci acontec film ambient ano 1822 person hugh glas grav fer urs deix merc caç pel membr promet recompens prest dev socorr acontec contr amordaç enterr viv outr membr filh assassin roub pertenc dur pen hugh conseg sobreviv cont ajud índi lembr histór samarit vinganç inesper bom rot fotograf pais gel nort eua film ganh ósc melhor film at leonard di capri dire alejandr gonzál iñárritu enred estômag fort,Leonardo di caprio assumir projeto audacioso acontecer filme ambientado ano 1822 personagem hugh glass gravemente ferir urso deixar mercê caçador pele membro prometer recompensar prestar devir socorro acontecer contrário amordaçar enterrar vivo outro membro filho assassinar roubar pertence duro pena hugh conseguir sobreviver contar ajuda índio lembrar história samaritano vingança inesperar bom roteiro fotografiar paisagem gelado norte EUA filme ganhar óscar bom filme ator Leonardo di caprio diretor alejandro González iñárritu enredo estômagos forte
Wallace F,4.5,"Obra prima de fotografia, atuação e um roteiro sensacional. Uma história americana bem contada com todos os requisitos necessários para tornar esse filme espetacular. Di Caprio e Tom Hardy foram magníficos. Baseada em uma história fantástica, esse filme te prende até o final!",23.0,34.0,obra prima fotografia atuação roteiro sensacional história americana contada requisitos necessários tornar filme espetacular di caprio tom hardy magníficos baseada história fantástica filme prende,obr prim fotograf atu rot sensac histór americ cont requisit necess torn film espetacul di capri tom hardy magníf base histór fant film prend,obra primo fotografia atuação roteiro sensacional história americano contar requisito necessário tornar filme espetacular di caprio tom hardy magnífico basear história fantástico filme prender
Mario M,4.5,Fotografia nota 10 e atuação brilhante de Leonardo di caprio. História boa e cheia de surpresas . Muita ação,16.0,13.0,fotografia nota 10 atuação brilhante leonardo di caprio história cheia surpresas muita ação,fotograf not 10 atu brilh leonard di capri histór chei surpr muit açã,fotografia notar 10 atuação brilhante Leonardo di caprio história cheio surpresa muito ação
maefnys ..,5.0,"Confesso que não esperava pouco da obra quando fui assistir, os trailers eram de tirar o fôlego e eu ja conhecia o grande trabalho do diretor, porém quando vi o filme fiquei sem palavras. A obra é surpreendente, é mais do que esperava, cada momento do filme é feito de uma forma a causar um sentimento no telespectador, não é aquele tipo de filme de sobrevivência que passa horas mostrando o lamento do protagonista, vemos aqui um confronto pessoal entre os dois personagens principais, o que leva um ao outro realizar as suas ações é o puro instinto de sobrevivêcia. Além disso, existem poucas palavras no português para descrever a atuação do Leonardo DiCaprio e do Tom Hardy, uma dupla incrível que merece sem sombra de dúvidas levar uma estatueta para casa no dia 28 de fevereiro.",2.0,,confesso esperava obra assistir trailers eram tirar fôlego ja conhecia trabalho diretor vi filme fiquei palavras obra surpreendente esperava filme feito causar sentimento telespectador filme sobrevivência passa horas mostrando lamento protagonista vemos confronto pessoal personagens principais leva outro realizar ações puro instinto sobrevivêcia existem poucas palavras português descrever atuação leonardo dicaprio tom hardy dupla incrível merece sombra dúvidas levar estatueta casa dia 28 fevereiro,confess esper obr assist trail er tir fôleg ja conhec trabalh dire vi film fiq palavr obr surpreend esper film feit caus sent telespect film sobreviv pass hor mostr lament protagon vem confront pessoal person princip lev outr realiz açõ pur instint sobrevivêc exist pouc palavr portugu descrev atu leonard dicapri tom hardy dupl incr merec sombr dúv lev estatuet cas dia 28 fever,confesso esperar obra assistir trailer ser tirar fôlego ja conhecer trabalho diretor vi filme fiquei palavra obra surpreendente esperar filme fazer causar sentimento telespectador filme sobrevivência passar hora mostrar lamento protagonista ver confronto pessoal personagem principal levar outro realizar ação puro instinto sobrevivêcia existir pouco palavra português descrever atuação Leonardo dicaprio tom hardy duplo incrível merecer sombra dúvida levar estatueto casa dia 28 fevereiro
Wanderreis,2.5,"O que tem de bom neste filme é a espetacular fotografia, que porém também se torna repetitiva ao extremo e cansativa após certo tempo.",10.0,2.0,filme espetacular fotografia torna repetitiva extremo cansativa certo,film espetacul fotograf torn repeti extr cans cert,filme espetacular fotografia tornar repetitiva extremo cansativa certo
Fabio E.,0.5,"É o pior filme que eu já ví na minha vida! Cansativo, entediante, eu saí do cinema frustrado e estou até agora pensando: O que é que eu fui fazer lá? Ainda não acredito que passei duas horas e meia vendo aquilo, foi o maior desperdício de tempo da minha vida.",1.0,,pior filme ví vida cansativo entediante saí cinema frustrado pensando acredito passei horas meia vendo desperdício vida,pi film ví vid cans entedi saí cinem frustr pens acredit pass hor mei vend desperdíci vid,mau filme ví vida cansativo entediante saí cinema frustrar pensar acreditar passar hora meia ver desperdício vida
Alexandre M.,1.0,"Filme tem objetivo nada original de ter um herói que sobrevive as adversidades para a vingança final. Cheio de cliches e situações absurdas que não escapam a uma observação com o mínimo de criticidade. Como o indio em cima da arvore no meio do acampamento, o urso raivoso que apenas machuca o herói que melhora ou piora de estado físico para atender ao objetivo final da vingança, os caçadores comendo carne crua sem a menor necessidade, etc.. Enfim o enredo começa para chegar ao final pré estabelecido que é o de presentear um Oscar para um ator que já teve papéis muito melhores. Fico decepcionado que um bom ator se preste a um papel destes.",1.0,,filme objetivo original herói sobrevive adversidades vingança cheio cliches situações absurdas escapam observação mínimo criticidade indio arvore acampamento urso raivoso machuca herói melhora piora físico atender objetivo vingança caçadores comendo carne crua necessidade etc .. enfim enredo começa chegar pré estabelecido presentear oscar ator papéis melhores fico decepcionado ator preste papel destes,film obje orig heró sobreviv advers vinganç chei clich situ absurd escap observ mín critic indi arvor acamp urs raiv machuc heró melhor pior físic atend obje vinganç caç com carn cru necess etc .. enfim enred começ cheg pré estabelec present osc at papel melhor fic decepcion at prest papel dest,filme objetivo original herói sobreviver adversidade vingança cheio cliche situação absurr escapar observação mínimo criticidade indio arvore acampamento urso raivoso machucr herói melhora piora físico atender objetivo vingança caçador comer carne cruo necessidade etc .. enfim enredo começar chegar pré estabelecer presentear oscar ator papel bom fico decepcionar ator prestar papel de este
Adriel Q.,1.5,"Sinceramente este filme pode ter cenas impressionantes, fotografia maravilhosa, paisagens belas, mais o filme perde aquele impacto logo após ele ser atacado pelo urso. Simplesmente resumindo o filme, conta apenas a história de uma cara quase morto movido pelo ódio de vingança tentando sobreviver!!! Nossa QUE INCRÍVEL. Alguns filmes particularmente (opinião minha) com esse mesmo gênero > SOBREVIVÊNCIA, A Perseguição, Evereste, Perdido em Marte e NÁUFRAGO. Todos esses FILMES sitados tem a mesma ligação de gênero > SOBREVIVÊNCIA, o NÁUFRAGO até hoje após seu laçamento em 2000 assisto com mesmo BRILHO e EMOÇÃO!!! O Regresso, lamentável, não via a hora de acaba o filme kkkkkAcho que talvez se por acaso fosse outro ator no lugar de Leonardo DiCaprio o FILME seria total fracasso, não desvalorizado outros atores, mais quero que fique claro que as pessoas estão Enfatizando mais Leonardo DiCaprio do que o próprio FILME.Opinião pessoal...",1.0,,sinceramente filme cenas impressionantes fotografia maravilhosa paisagens belas filme perde impacto atacado urso simplesmente resumindo filme conta história cara quase morto movido ódio vingança tentando sobreviver incrível filmes particularmente opinião gênero sobrevivência perseguição evereste perdido marte náufrago filmes sitados mesma ligação gênero sobrevivência náufrago hoje laçamento 2000 assisto brilho emoção regresso lamentável via hora acaba filme kkkkkacho acaso fosse outro ator leonardo dicaprio filme total fracasso desvalorizado atores fique claro pessoas enfatizando leonardo dicaprio filme.opinião pessoal ...,sinc film cen impression fotograf maravilh pais bel film perd impact atac urs simples resum film cont histór car quas mort mov ódi vinganç tent sobreviv incr film particul opin gêner sobreviv persegu ever perd mart náufrag film sit mesm lig gêner sobreviv náufrag hoj laç 2000 assist brilh emoç regress lament via hor acab film kkkkkach acas foss outr at leonard dicapri film total fracass desvalor at fiqu clar pesso enfatiz leonard dicapri filme.opin pessoal ...,sinceramente filme cena impressionantes fotografia maravilhoso paisagem belo filme perder impacto atacar urso simplesmente resumir filme contar histório car quase matar movir ódio vingança tentar sobreviver incrível filme particularmente opinião gênero sobrevivência perseguição evereste perder marte náufrago filme sitar mesmo ligação gênero sobrevivência náufrago hoje laçamento 2000 assisto brilho emoção regresso lamentável ver hora acabar filme kkkkkacho acaso ser outro ator Leonardo dicaprio filme total fracasso desvalorizar ator ficar claro pessoa enfatizar Leonardo dicaprio filme.opinião pessoal ...
Heber B.,2.5,"não tem muito cenas que fala o porque ele estao lá coletando aquelas pele e também este homem e imortal , ela sofel muito mas aquelas coisa que aconteceu com ele já ela pra ele morre faz hora, melhor estuda este homem poq e de outro mundo o homem de 7 vida assim eu nomeio ele.",1.0,,cenas fala estao coletando pele homem imortal sofel aconteceu pra morre hora melhor estuda homem poq outro mundo homem 7 vida nomeio,cen fal esta colet pel hom imort sofel acontec pra morr hor melhor estud hom poq outr mund hom 7 vid nomei,cena falar estao coletar pele homem imortal Sofel acontecer pra morrer hora bom estudar homem poq outro mundo homem 7 vida nomeio
Jackson A L,4.5,"Um ótimo filme que finalmente rendeu um oscar ao Dicaprio. Uma belíssima atuação que não deixa a desejar em nada. Além disso, conta com uma brilhante fotografia, que também fez jus ao prêmio. Só tiraria aquelas cenas de sonhos/delirio (Glass), pois ficaria um pouco menor a extensão, sem comprometer a obra.",1205.0,13415.0,ótimo filme finalmente rendeu oscar dicaprio belíssima atuação deixa desejar conta brilhante fotografia jus prêmio tiraria cenas sonhos delirio glass ficaria extensão comprometer obra,ótim film final rend osc dicapri bel atu deix desej cont brilh fotograf ju prêmi tir cen sonh deliri glas fic extens compromet obr,bom filme finalmente render oscar dicaprio belíssimo atuação deixar desejar conta brilhante fotografia jus prêmio tirar cena sonho delirio glass ficar extensão comprometer obra
Dennys R,4.0,"Tem um roteiro simples mas que te deixa imerso na atmosfera do filme, junto a isso temos a atuação incrível do Leonardo Di Caprio além de uma fotografia impecável.",198.0,42.0,roteiro simples deixa imerso atmosfera filme junto atuação incrível leonardo di caprio fotografia impecável,rot simpl deix imers atmosf film junt atu incr leonard di capri fotograf impec,roteiro simples deixar imerso atmosfera filme junto atuação incrível Leonardo di caprio fotografia impecável
Icaro G,0.5,"Filme cansativo, entediante, cenas desnecessárias, longas e fatigantes. Filme clichê, o protagonista tem vida de gato e recuperações recorde. Não vá por modinha, não perca seu tempo e dinheiro.",40.0,21.0,filme cansativo entediante cenas desnecessárias longas fatigantes filme clichê protagonista vida gato recuperações recorde vá modinha perca dinheiro,film cans entedi cen desnecessár long fatig film clich protagon vid gat recuper record vá mod perc dinh,filme cansativo entediante cena desnecessário longo fatigante filme clichê protagonista vida gato recuperação recorde ir modinha perca dinheiro
Fabricio Menezes,2.5,"Sinceramente não vi nada demais no filme a não ser a atuação espetacular do Leonardo DiCaprio e a fotografia belíssima! No mais, é uma história vazia e que já não é nenhuma novidade no cinema. Vi em várias cenas nele referências de filmes e séries de vikings e tb como não lembrar de Coração Valente de Mel Gibson? Não vejo nada de impactante suficiente pra dizer que foi um filme excelente, mt menos uma obra-prima. Algumas boas sequências, porém um roteiro muito fraco! E vou discordar totalmente do crítico do site e dizer que sim, foi um filme pra dar o Oscar pro DiCaprio. Além disso, a duração do longa é exagerada pra uma história previsível, até pq todo mundo já sabe o que vai acontecer no final. Outro ponto fraco são as mentiradas absurdas que fazem do protagonista um imortal.",170.0,25.0,sinceramente vi filme atuação espetacular leonardo dicaprio fotografia belíssima história vazia novidade cinema vi várias cenas nele referências filmes séries vikings tb lembrar coração valente mel gibson vejo impactante suficiente pra filme excelente mt obra-prima boas sequências roteiro fraco vou discordar totalmente crítico site filme pra oscar pro dicaprio duração longa exagerada pra história previsível pq mundo acontecer outro fraco mentiradas absurdas protagonista imortal,sinc vi film atu espetacul leonard dicapri fotograf bel histór vaz novidad cinem vi vár cen nel refer film séri viking tb lembr coraçã valent mel gibson vej impact sufici pra film excel mt obra-pr boa sequ rot frac vou discord total crít sit film pra osc pro dicapri dur long exager pra histór previs pq mund acontec outr frac mentir absurd protagon imort,sinceramente ver filme atuação espetacular Leonardo dicaprio fotografiar belíssimo história vazio novidade cinema ver várias cena em ele referência filme série vikings tb lembrar coração valente mel gibson vejor impactante suficiente pra filme excelente mt obra-prima bom sequência roteiro fraco ir discordar totalmente crítico site filme pra oscar pr o dicaprio duração longo exagerar pra história previsível pq mundo acontecer outro fraco mentirada absurr protagonista imortal
Diácono Marcio C.,4.0,Muito boa a atuação do Di Caprio Fotografia muito linda História boa Cenários deslumbrantes Cenas fortes Bom entretenimento,54.0,20.0,atuação di caprio fotografia linda história cenários deslumbrantes cenas fortes entretenimento,atu di capri fotograf lind histór cen deslumbr cen fort entreten,atuação di caprio fotografia lindo história cenário deslumbrante cena forte entretenimento
AndréIsaque,5.0,"BRILHANTE !!! Um filme com inarritu , Dicaprio e Lubezki , não poderia ser diferente , IMPECÁVEL a atuação de todos , principalmente do Leonardo Dicaprio , que merece e ganhará seu primeiro , oscar , uma obra prima do cinema em que as duas horas e quarenta passam voando e de maneira ESPETACULAR !!!",62.0,16.0,brilhante filme inarritu dicaprio lubezki poderia diferente impecável atuação principalmente leonardo dicaprio merece ganhará oscar obra prima cinema horas quarenta passam voando maneira espetacular,brilh film inarritu dicapri lubezk pod difer impec atu princip leonard dicapri merec ganh osc obr prim cinem hor quarent pass vo man espetacul,brilhante filme inarritu dicaprio Lubezki poder diferente impecável atuação principalmente leonardo dicaprio merecer ganhar oscar obra primo cinema hora quarenta passar voar maneira espetacular
Ventureiro C.,4.5,"Sensacional!Leonardo Di Caprio sempre se superando.A ganância e o egoísmos terminam sempre em morte.A vida é uma caixinha de surpresas e quando tudo parece acabar, surge um inesperado...",7.0,24.0,sensacional!leonardo di caprio superando ganância egoísmos terminam morte vida caixinha surpresas acabar surge inesperado ...,sensacional!leonard di capri super ganânc egoísm termin mort vid caix surpr acab surg inesper ...,sensacional!leonardo di caprio superar ganância egoísmos terminam morte vido caixinho surpresa acabar surgir inesperado ...
Carolina E.,5.0,"Nossa, expectativas mil e todas superadas com louvor. O filme me chocou. Saí da sala de cinema em êxtase. Meu coração ficou apertado, chorei, dei um breve sorriso, mal conseguia respirar...o filme me tocou, foi fundo lá na emoção. Há tempo não assistia um filme tão impactante e maravilhoso. Se DiCaprio não levar o Oscar de melhor ator esse ano (2016) é porque a Academia não está à altura de um ator como ele. Sem mais...",7.0,22.0,expectativas superadas louvor filme chocou saí sala cinema êxtase coração ficou apertado chorei dei sorriso conseguia respirar ... filme tocou fundo emoção há assistia filme impactante maravilhoso dicaprio levar oscar melhor ator ano 2016 academia altura ator ...,expect super louv film choc saí sal cinem êxtas coraçã fic apert chor dei sorris consegu respir ... film toc fund emoç há assist film impact maravilh dicapri lev osc melhor at ano 2016 academ altur at ...,expectativa superar louvor filme chocar saí sala cinema êxtase coração ficar apertado chorar dei sorriso conseguir respirar ... filme tocar fundo emoção haver assistia filme impactante maravilhoso dicaprio levar oscar bom ator ano 2016 academia altura ator ...
Um visitante,5.0,-Fantástico filme.Confesso que me vi na pele das pessoas que viam cinema naquela época.-Virei fão de Berenice Bejo depois de ter assistido ela nesse filme.O filme te leva pra uma série de emoções e alegria.A trilha sonora é nota dez.,,,-fantástico filme confesso vi pele pessoas viam cinema época.-virei fão berenice bejo assistido filme filme leva pra série emoções alegria trilha sonora nota,-fant film confess vi pel pesso vi cinem época.-v fão beren bej assist film film lev pra séri emoç alegr trilh son not,-fantástico filme confessar ver pele pessoa ver cinema época.-virei fão berenice bejo assistir filme filme levar pra série emoção alegria trilha sonoro nota
Lucas A.,2.0,"Realmente uma história maravilhosa.... mas o filme é cansativo , entediante e sem grandes emoções . Nem um pouco reciproco  as indicações pro Oscar com o filme.",19.0,23.0,realmente história maravilhosa .... filme cansativo entediante emoções reciproco   indicações pro oscar filme,real histór maravilh .... film cans entedi emoç reciproc   indic pro osc film,realmente história maravilhoso .... filme cansativo entediante emoção reciproco    indicação pro oscar filme
