autor_comentario,nota_comentario,conteudo_comentario
Neto S.,2,rocky balboar sylvester stallone lutador Boxe medíocre trabalhar cobrador agiota chance enfrentar apollo creed carl Weathers campeão mundial pesos-pesados idéia oportunidade desconhecer golpe publicitário rocky decidir treinar modo intensivo sonhar terminar luta ser nocautear campeão otimo rocky lutador filme superaçao sylvester stallone personagem famoso filme excelente trilha sonoro rocky liçao vida recomendar assistir nota 9.7
Alexandre C.,3,filme excelente clássico nascer personagem épico junto nascer stallone ator 40 ano fazer filme sucesso bilheteria associar rocky musica filme
Felipe F.,3,bom filme atuação magistral sylvester stallone    roteiro compor trama trilha sonoro sensacional clássico bom filme esporte fazer quebra clichê filme gênero execpcional
Mary M,1,superestimar prender emocionar verdade passar filme entediar atuação stalone salvar filme eu claro fazer direção legal época bom gostar ser experiência pessoal realmente curto filme lutar focar boxe ver mundo falar filme ruim roteiro pobre encaixa superficial desconexo filme mediano entretenimento olharer recomendo goste gostar haver problema nenhum em isso gosto gosto
Ricardo L.,3,bom filme esporte tempo vencedor óscar bom filme ano lembrar vencer filme cultuar história taxi drive rocky maravilhoso
Carlos P.,2,avaliação legado filme hoje quase 50 ano muito soa simples clichê filme elucidar cinema quase população mundial escadaria escada rocky querer subir correr música tocar cabeça grandiosidade cinema maneira claro
Jorge Eduardo M.,3,clássico cinema lutador Boxe q lutar clube receber oportunidade vido deixar passar lutar campeão mundial oportunidade melhor sí bom    luta histórico excelente roteiro ótimo atuação fotografiar trilha sonoro
Vinícius d,3,clássico Cinemas filme ultrapassar esfera cinegrafia tornar se objeto    campanha motivacional musica virar sinônimo boxe vencedor ir restringir qualificar filme si historia cativo atenção prender atenção espectador historia personagem secundário envergonhar adrian indignar funcionario açougue Paulie interessar superação personagem adrian proprio balboar obviamente historia cruzar stallone obviamente lidar situação filme resgatar pessoa viver demorei assistir principalmente stallone esperar obra mediano por entrar ai trabalho redator diretor profissional envolver
Eduardo F.,3,marco grande filme história sucesso público crítico dirigir estrelar sylvester stallone vencer oscar bom filme ganhar bom continuação famoso rocky iv
Jhonathan C.,2,filme atuação empurrãozinho stallone precisar começar brilhante carreira de ele filme comovente lutador chancer mostrar potencial campeão mundial peso pesar apollo creed atuação burt young Talia shire
Lucas S.,2,falar filme famoso clássico ganhador oscar ótima pedida perseverar vida filme macho hehe
Leandro.o,3,sucesso stallone rocky lutador agrar início mostrar funcionar luta amador Boxe atenção público lutador fama buscar dinheiro lutar vida filme conseguir retratar bom filosofia vida usar linguagem popularesco trazer história realidade primeiros minuto apresentar protagonista história homem simples viver dura complicado luta amador Boxe trabalhar agiota cobrar divida humorado espectador criar afeição extremo importância narrativo rocky foco personagem filme dose homeopático personagem ser incluír química casal principal ajudar ritmo hora filme entrada apollo histório personagem característico roteiro excepcional ideia lutar astro Boxe lutador amador fama interesse apollo acabar tornar chance rocky vida genial procurar oportunidade brilhar filme desenvolver história protagonista detalhar mostrar treinamento rocky excelente roteiro crescer ir acompanhar evolução protagonista técnico lutar obra mostrar apollo buscar Busness lutar transforma- show luta produzer ser ato principal obra fechar chave ouro inúmero qualidade roteiro atuação desenvolvimento personagem trilha sonoro ambiente mensagem enfim alcançamos oportunidade lutar dê certo medo
CinefiLov❤️,3,filme clássico conto azar homem comum receber oportunidade único alcançar grandeza jornada rocky inspirador mostrar determinação perceveransar desafio stallone alcançar fama viver extremo pobreza chegar morar rua passar fome filme abordar tema Esperança amor redençãor buscar sonho americano
Cleibsom Carlos,1,filme certo vontade suportável sessão chegar admiração pequeno ideia rocky lutador comum ordinário atolar lodo demagogia vender certo exagero American Way of life filme ingênuo demagogo constrange
Paulo C.,3,tanto filme boxe bom dúvida bom emociono lutar simplesmente épico roteiro incrível simples cativante trilha sonoro inesquecível bom representação Boxe ver persistência disciplina superação filme simplesmente épico
Ludgero B,2,filme muitíssimo trilha sonoro arrepiar espinha filme mostrar espírito humano esforçar omelhor si
Falcão G.,3,exelente filme nao pq achar tao filme stallone tao ruim otimo filme    falar trilha sonoro otimo
Fernando D.,2,classico cinema trilha sonoro reverenciar hoje
Franklin  S.,3,excelente filme belo trilha sonoro mostrar superaçao determinaçao homem querer alcançar desejo lutador em do
Paolo De Corleone,3,clássico drama rocky obra arte gênero sombra dúvir bom filme Boxe existente ser show enredo show atuação show momento clássico ter dirigir filme ideia inicial sylvester stallone trás com si personagem complexo simples apesar entender objetivo afinco maneira magistral dúvir bom desenvolvido papel ator talia shire exigir Adrian interessante mudar personalidade desenrolar trama atriz conseguir representar Burt young apesar esteriótipo personagem favorito paulie figura complexo demonstrar várias longo 6 filme ator sinal excelente trabalho carl Weathers eterno apollo creed chegar difícil falar personagem apesar de ele parecer mero vilão filme original fã sequência identificar verdadeiro personalidade amigo carismático afetivo personagem inesquecível!em enredo fenomenal trazer assunto identificar filme brilhar início parar série bom desenvolver dúvida bom franquia ser eternamente bom história superação clichê técnica rocky tornar se clássico existir outro perfeito treinamento protagonista trilha sonoro magistral Bill contir fundo sinal bom existente sétima-arte característica especial facilidade filme obter momento eternizar cinema ser comentar cena treinamento soco rocky carne frigorifico simplesmente estrondoso adrian adrian longo momento único ficar mente telespectador rocky lutador marco cinema filme dever assistir ser fã drama fã Boxe simplesmente cinema clássico indiscutível
Roberto S.,3,simplesmente começar fazer haver quase 40 ano encaixar dia hoje
Mariano S.,3,filme rocky pedra 	  vi olho filme stallone comentar Boxe Centro roteiro superaçãor homem adversidade vida identifico personagem longo 30 ano história encontrar frustração decepção apesar possuir talento vejor título central interligar voltar história amor foco cara julgar bobo moça julgar tímido louco claro nome rocky levar pugilista rocky marciano escrever rocky mariano película basear história homem viver trilha anti-herói cena revelar penumbra periferio ofício menino recar cobrador agiota usar força cobrar dívida treinador perder Esperança boxeador chancer campeão apollo doutrinador convidar luta vida finalmente oportunidade 30 ano 	  vejor trinta ano pedra ofício literário negativo editora vida emocional fora advocacia mau pagador área vida balboar filme morar espécie cortiço despertar atenção ninguém ter talento vencer ringue luta garantiar sobrevivência luta constante sobrevivência lembrar lógico darwinista filosofia cientologio lei principal vida sobrevivência 	  comentário stallone roteirista falar rapaz muito simpatia briguento apesar roteiro original usar 10 alteração adicionar história amor puro casta irmã amigo trabalhar açougue apoiar conquista conquista força inteligência fato patinar junto declarar mãe dizer corpo dever buscar inteligência balboar falar inteligência pai falar corpo – resultar almas-gêmea lutar Esperança protagonista Esperança sonho atleta trinta ano idade avançar brasileiro desistir amor vencer hora boxe outro mulher ideal vida claro 1976 pessoa parecer inocente hoje ver amor vencer chamar superar apollo u aguentar golpe 	  rocky viúvo interessar voltar lutar aposentar dono restaurante sentir realizar hoje vezer escrever livro tomar importância especial manifesto sentimento advocacia balboa filho trabalhar empresa rejeitar ser conquista discurso fama boxeador golpes apesar personagem único insubstituível outro ator lembrar mojico brasileiro zé caixão insubstituível pedra filme superar dor limitação físico idade barreiro forte vencê-lo vida luta ringue vencer bom soco erguer troféu Orçamento uso ator próprio família stallone resultar vencedor Óscar bom filme claro boxe coadjuvante enredo lutar ensaiar dança bastidor cair levantar servir lição existencial pessoa jamais vestir luva boxe mariano soltys autor livro filme filosofiar
Luis R.,3,excelente!!!é sensacional assistir treinamento rocky trilha sonoro emocionante luta começar piada terminar embate gigante filme verdadeiramente motivacional tornar clássico
anderson j,3,rocky lutador filme predileto filme despertar distinto emoção verdadeiro apaixonante direção John g. avildsen precisar conseguir transmitir simplicidade philadelphia rocky viver muito paixão stallone dúvida    papel vida aliás tratar personagem rocky conseguir proeza personagem bom carismático magistralmente desenvolvir música bill contir milagroso coreografia lutar cereja bolo filme emocionante engraçado inspirador transformador dizer rocky acrescentar vida pra eu ápice qualidade filme acrescentar vida rocky filme simbolizar esperança nascer oportunidade
Alex FreireRP,3,maravilhoso história superação clássico toa assisti semana 2014 filme continuar atual ver arrepender
Mateus B,2,exelente bom filme motivação ver chamar atenção filme roteiro atuaçoes exenplar thalia Shire silvester Stallone.pra eu remake rápido.outra importar idade identificar filme
Leandro Tavares Vasconcelos,3,"filme inesquecível bom série!!!é drama comovente bom dose humor contar história lutador solitário muito sorte vida ganhar único chance mudar vida sylvester stallone atuaçâor impecável ´ Garanhâo italiano´,e carl Weathers ótimo apollo creed restante elenco rocky filme amor stallone talia shire química perfazer falar maravilhoso trilha sonoro enfim rocky clássico inesquecível"
Thiago Ferreti,3,épico drama esportivo vencedor oscar bom filme justo sylvester stallone escrever ess roteiro incrível dar vida protagonista rocky balboar excepcional     trilha sonoro impecável combinar filme apesar orçamento roteiro dedicação stallone passar
Weber R.,2,assistir novamente 27/02/2016um clássico cinema trilha sonoro ótimo merecido oscar bom filme
Rondinelle R.,3,dúvida bom filme tempo história lindo muito gente pele ricky balboar lutar vida
ValeAssistir,2,clássico filme Boxe rocky realista objetivo precisar vencer precisar portar dignidade mostrar patamar campeão atingir objetivo arriscar rocky começar alguém medo melhor caso ser suficiente tornar alguém suspeitar bom suficiente alcançar objetivo disposto testar descobrir vale pena olhar apolo creed subestimar adversário seguro si ocupar comercial luta acabar chegar despreparar luta
Franc Moura,1,chato gente assistir filme clássico aclamar crítico gostar imaginar ir apesar achar filme rocky agradar imaginar achar metade filme marcha lento iniciar preparação pra luta apollo filme melhora substancialmente ficar interessante envolvente desenvolvimento personagem história trilha sonoro marcante filme agradável considerar excelente vale pena assisti-lo
betolani,1,bom serie cinema ess filme emocianate prender    voce tambem gritar rocky junto plateia filme nao sao tao bom valer pena realmente otimo serie
alvingalo,3,filme favorito maravilhoso
Murilo Dias,2,filme revelar stallone mundo coroação bom filme stallone roteirista pegar filme vida balboar trazer vontade vitória assistir deixar gosto querer saga continuar luta principal lutador saga
Vito Zanotti,2,filme primeiros 40 minuto drama romantico lutador ser ruim ai 1 hora filme começar rocky preparar pra luta Pau pau trilha sonoro incrivel bom filme resumo filme lutar nota 8
Adriano Côrtes Santos,3,pobre criatura 2024 dirigir yorgo lanthimos adaptação audacioso excêntrico história frankenstein forte ênfase tema autodescobertar identidade liberdade trama seguir bella Baxter mulher recém-ressuscitar cérebro criança embarca jornada empoderamento reconstrução pessoal performance Emma stone bella impressionante capturar complexidade emocional personagem filme destacar direção arte inovador misturar elemento humor negro crítica social estética visual vibrante lanthimos explor habilidade tema profundo corpo liberdade elenco contar atuação memorável Willem dafoe Mark ruffalo adicionar camada narrativo abordagem radical poder polarizador pobre criatura obra arte provocador estilo único refletir inquietação contemporâneo identidade restrição social direção impecável elenco brilhante trama envolvente filme experiência cinematográfico inovador conquistar prêmio reconhecimento ousadia
Nelson J,3,filme roteiro criativo excelente interpretação valer minuto perca emma stone candidata oscar total domínio cena Willem dafoer criador mark ruffalo cômico drmático Ramy youssef encaixar tanto talento
Adriano Silva,3,"pobre criatura poor things 2023""pobres criatura dirigir yorgo lanthimos escrever tony mcnamar basear romance 1992 alasdair gray enredo seguir bella Baxter Emma stone jovem ganha vida transplante cérebro embarca odisseer autodescoberto yorgos Lanthimos cineasta marcar excentricidade extravagância filosofio eloquência construir obra trivial convencional muito flertar bizarro complexo místico profundidade personagem estudo personagem de esse característica obra sobressaer lagosta 2015 sacrifício cervo sagrar 2017 favoritar 2018).em pobre criatura yorgo atingir ápice bizarro estranho místico criar releitura clássico frankenstein refletir limite ético moral ciência fragilidade humano principalmente fragilidade masculino imagem feminino sociedade patriarcal principalmente abordagem percepção mundo imoral injusto alheio várias vertente criação criador obra yorgos classificar frankestein sexualizar espécie frankenstein século xxi acompanhar fascínio autodescoberta protagonista aliar contexto subvertir lógico fato próprio descobrir vivenciar avanço trama excelente direção yorgo aliar bom roteiro tony mcnamar roteirista favorito junto constroem obra convencional principal característica estranheza roteiro livre amarra rótulo justamente seguir convencional cruzar linha comédia drama mistério improvável romance roteiro tony sobressair saltar olho conseguir dosar pequeno pitada comédia sombrio comédia dramático surrealista toque humor negro misturar sátira sarcasmo ser provocativo desconfortável incisivo criar linha cruzar místico ficção científico fantasia fábular visão profundo conseguir divertir impactar roteiro conseguir manifestar mesmo proporção entretémr "" pobre criatura bom filme assisti último ano desenvolvimento roteiro personagem estrutura narrativo conseguir construir personagem desenvolvê-lo medida certo fazer belíssimo estudo principal característica construção desenvolvimento bellar Baxter roteiro abordar principalmente autodescobertar autoconhecimento amadurecimento profundidade perdo inocência desejo liberdade conhecimento vida dúvir visão singelo peculiar jornada emancipação feminino viagem excêntrico descobrimento liberdade feminino histório passar vitoriano jovem grávir cometer suicídio pular ponte resgatar médico cientista dr. Godwin Baxter Willem dafoe cérebro remover trocado cérebro desenvolvimento filho gestação ser bella corpo mulher existir entrar interessante roteiro justamente desenvolvimento bella praticamente criança ser bella age pessoa problema mental corpo adulto mentir criança atitude criança comportamento criança corpo de ela estar sincronizar corretamente cérebro explicação dr. Godwin bella precisar aprender princípio andar falar comer comportamento respeitar obedecer regra impor dr. Godwin figurar dr. godwin princípio ver bella criador pai deus portar perante chamar god"").a acompanhar jornada bello Baxter bagagem emocional social sentimental experiência vida domínio dr. godwin ser nascimento criatura mostrar monstruoso aparentemente casca cheio camada puro singelo meigo encantador interessante roteiro produção filmagem projetar transplantar telo escolhar representar começo histório bella Baxter filmagem preto branco takes profundo dimensionar fragilidade vulnerabilidade inexperiência criança desenvolvimento autoconhecer autodescobrindo interessante notar bella desenvolver passar chegada excêntrico advogado duncan Wedderburn mark ruffalo trazer verdadeiro mudança vida bello Baxter convite justamente esperar aventurar mundo embarcar odisseia surrealista autodescoberto libertação mudança filmagem colorir bella ganhar vida ganhar cor simbolizar libertação bello garras dr. Godwin outro prestes conhecer outro prisão yorgo Lanthimos condensar fase vida bello Baxter exploração sexualidade personagem autodescobrir curioso observar bella dar salto composição fase vida obviamente limitá-la conhecer corpo próprio desejo sexual naturalmente despertar desejo infinito conhecimento discernimento ditar próprio sociedade perante descoberta vida bello Baxter mergulhar desejo sensação físico despertar curiosidade ato sexual certo autoconhecimento autodescobrimento analisarmos friamente cena sexo pudor cena gratuito etapa evolução conhecimento curiosidade explorar mente corpo deixar criação desprover inteligência ganâncio aceitação próprio próprio desconforto vejor filme romantizar prostituição vejor desrespeito pauta mensagem feminino acreditar obra projetar aspecto perspectiva ótico próprio feminino liberdade sexual acreditar projetar poética filosófico ser pauta polêmico roteiro pobre criatura presença emma stone?emma queridinhas hollywood ganhar oscar papel badalar la la land 2016 acumular várias indicação prêmio festival premiação cinematográfico emma stone trabalho soberbo fenomenal personagem forte representativos próprio mia la la land cruella vil cruella 2021 abigail hill favorito personagem favorito preferido carreira considerar merecer oscar personagem la la land bella Baxter acabar tornar personagem preferido emma considerar bom atuação carreiro Emma stone incorporar muito grandeza muito maestria bello Baxter filme precisar sustentar atriz conseguir transparecer crescimento personagem sintoniar desenvolvimento roteiro conseguir tarefa absurdamente impecável perfeito emma constróir atuação pautar junto desenvolvimento personagem ingenuidade inicial inexperiência ir criança passar espécie crescimento florescer reflexão melancólico vida adulto emma seguro convincente arrojar exibir interpretação rico expressão corporal linguagem corporal trejeito gestual timming cômico medida certo impossível apaixonar brilhantismo Emma stone pobre criatura conseguir dosar cena roteiro pedir passar personagem vulnerável inexperiente processo amadurecimento desconstrução descaracterização tornar idealista utópico ir linha evolução físico mental prazer sexual moralismo culpa emma evoluir altíssimo patamar personagem lendária icônico cenário cinematográfico obviamente bello Baxter ficar marcado estigmatizar monstruoso irretocável interpretação preciso confessar torcida estatueto bom atriz completamente lily gladstone excelente personagem killers of the flower moon cativar profundamente preciso registrar oscar obrigatoriamente Emma Stone Justiça atuação personagem ficar marcar história cinema mestre Willem dafoer enciclopédia cinematográfico arte atuar realmente impressionante qualidade performance pobre criatura dafoer médico inteligente cientista brilhante espécie pai extremo proteção filha criador cuidado excessivo criação manter aprisionar mundo dafoe trazer veia cientista complexo ingênuo egoísta maldoso arrogante mesquinho exibir extremo obsessão criação atuação impecável mestre dafoe!já mark ruffalo bom personagem cena ficar emma stone claro mark advogado meticuloso sedutor maquiavélico figura cafajeste prepotente querer aproveitar bella fisicamente mentalmente passar ir conhecer fundo personagem descobrir quão fútil raso vazio excelente trabalho mark ruffalo render indicação oscar ator coadjuvante completar elenco Ramy youssef série ramy mr . robot max mccandles noivo bella personagem interessante ter nuance camada christopher abbott cair noite alfie Blessington marido victor Blessington mulher dona corpo atual personagem completamente asqueroso odiável manter esposo propriedade exibir dono controlador praticamente carrasco bella transplanto cérebro bode encerrar margaret qualley série the leftovers felicity experimento científico dr. Godwin interessante observar conversa dr. Godwin max Mccandles max achar dr. ser cruel criação dr. afirmar cometer erro bella permitir sentimento em ele desenvolvessem felicity praticamente criação inúmero animal bizarro!outro engrandecer obra yorgos lanthimos qualidade técnico filme yorgos trilha sonoro original compositor filme anterior usar música existente trilha sonoro compositor jerskin fendrix músico pop estreia longa-metragem impregnar mente chegar deixar desconfortável som estridente toque fino penetrante ser repetitivo fatalmente proposital real intenção trilho sonoro cinematografia absurdamente perfazer fotografia robbie ryan diretor fotografia favorito acompanhar muito eloquência cena ser extravagante hora certo compor tomar cena valer direção arte abusar cenário grandioso montar figurino extremamente marcante encaixar perfeitamente realidade excêntrico extravagante história longa-metragem roteirizado possuir direção impecável montar excelente edição ótimo cenografia perfeito ambientação "" pobre criatura ganhar leão ouro festival internacional cinema veneza globo ouro filme receber indicação ganhar bom filme musical comédia bom atriz filme musical comédia Emma stone criticsr choice awards longo receber indicação vencer bom atriz receber indicação bafto indicação oscar ser figurino edição maquiagem fotografia trilho sonoro direção arte roteiro adaptar direção ator coadjuvante atriz claro bom filme "" pobre criatura arrecadar US$ 33,1 milhão Estados Unidos Canadá US$ 68,8 milhão território totalizar US$ 101,8 milhão mundo encerrar afirmar yorgo lanthimos trazer bom filme carreira ousadia competênciar inteligência relevâncio junto Tony mcnamaro entrega belíssimo obra arte cinema obra-prima cinema moderno saber quebrar estereótipo quebrar barreira descontruir imaginário popular obra navegar propriedade comédia drama fantasia ficção científico romance dúvida pobre criatura passar entrar história cinema listar filme lendário icônico virar verdadeiro clássico cult amar inúmero cinéfilo "" pobre criatura obra fascinante colossal eloquente apoteótico excêntrico extravagante perturbadora desconfortável provocativa empregar narrativa poético filosófico texto preceito vida autoconhecimento autodescobertar aceitação redençãor desconstrução descaracterização humano bella Baxter personagem ficar marcar mente feminino criar explorar diversificar retomada mergulhar amadurecimento descobrimento liberdade feminino falar lição trajetório evolução crescimento próprio clama igualdade libertação olhar moralista ético presente sociedade "" pobre criatura obra-prima respirar cinema poético filosófico categórico incisivo![01/03/2024"
Giselle Leigh,1,filme merecer nota horrível filme longo arrastar história ruim monótona superestimar crítico razão filme total perda aliar haver mau gosto valer pena assistir
Rhenner B,1,filme completamente dispensável longo cansativo chato história completamente inútil narrativa arrastar entediante coisa sentido muito cena sexo digno filme pornográfico categoria misturar filme ter pretensão filme arte sair cinema haver sensação    arrependimento perder decepção
Dennys R,3,obra-prima.emma stone entregar bom atuação carreiro yorgos lanthimos bom trabalho carreira
DUDU SILVA,2,atuação fantastico emma stone humor caracteristico pobre ctiatura visual brega divertir momento
Ricardo L.,3,bom filme 2024 cena bonito último ano dançar Emma ruffalo cair queixo interpretação incrível homenagem claro tarantino pulp fiction pobre criatura essência puro arte obra primo
Leonardo Dalla Porta,1,pobre criatura aposta estético esquisito conseguir    fugir comum esperar filme demorar pra engrenar hora explicativo sal melhora perder focar descoberta    sexual protagonista legal alto desenvolver    atuação emma stone diferenciar categoria    técnica fraco estética bizarro proposital filme    desvalorizar fotografia achei terrível 4:3    excesso lente ultra-grande-angular compreer ideia direção querer passar    vender ruim    assistir ter elenco estrela    ter ser lembrar
Ravi Oliveira,2,pobre criatura impressionante jovem bella Baxter trazer volta vida cientista dr. Godwin Baxter querer mundo fugir advogado viajar continente livre preconceito época bello exigir igualdade libertação trabalho direção junto cuidado mínimo detalhe filme direção yorgos lanthimos proporcionar longa-metragem indescritível
Kleber L.,2,conto far pós-moderno passado distópico princesa rebelde pleno gozo literalmente livre arbítrio niilista belo tocante parabéns yorgut lastimo ... hihihi
Anderson  G.,2,poor things filme peculiar excelente diretor yorgo lanthimos espécie frankenstein século xxi subvertir lógico monstruoso explorar tentativa alma manter puro sociedade impura diretor haver abordar tema semelhante filme dente canino atuação excelente representar bom momento carreira Emma stone Mark ruffalo desempenhar papel outro destaque construção cenário estilo retrofuturista repleto referência metrópoles mesclar efeito visual propositadamente simples efeito alto qualidade criar constantemente sensação desconfiança fotografia buscar ângulo abrir distópico polêmico cena envolver sexo explicar dirigir filme premissar bom estilo ficção científico percorrer gênero incluir terror comédia romance drama formar obra completo apesar perfeito período repetição criatividade yorgo Lanthimos buscar inspiração livro ano 90 criar filme atemporal nota 9/10
Renato Ferreira de Almeida,1,mau filme assisti vida filme contar excesso cena função chocar pobre coitado pagar assistir obra cansativo filme buscar inteligente junção mensagem vazio falacioso recomendar filme mau inimigo arreper fazer igual casal sair filme metade bom opção único positivo cenário
Leonardo Araújo,1,começo achei filme bost4 ... cativar prender atenção resultado gostar muito cena engraçar contar ingenuidade personagem sala inteiro rir cenário legal ambientação top emma stone mandar filme atuação show mente filme ficção convencional cabeça abrir assistir resto divertido valer pena
ramon rodrigues,1,filme 11 indicação oscar cinema crítico morto qualidade valorizar contexto história triste filme revoltante sombra dúvida milhar filme assisti contexto decepção pior filme assisti vida percar
Jackson A L,2,filme lembro assistir protagonista Emma Stone mentira 2010 época achar ruim atuação hoje possuir estatueta bom atriz pobres criatura atuação único particular viver bella Baxter criança corpo adultar filme cheio nuance Lanthimos deixar filme acaso representar simbolicamente show atuação elenco
Dudu S.,2,"pobre criatura filme doido bizarro precisar história essa""""frankensteiner personagem clássico pessoa ouvir falar de ele algum surgir literatura protagonista romance terror escrever mary shelley cinema várias adaptação personagem consequênciar longa-metragem pobre criatura dirigir yorgo lanthimos adaptação livro alasdair gray inspirar aclamar romance shelley história pobre criaturas?baseada livro homônimo alasdairr grey referenciar clássico frankenstein história passar vitoriano acompanhar bella Baxter interpretar emma stone trazer volta vida cérebro substituir filho nascer experimento realizar doutor godwin Baxter Willem dafoe cientista brilhante ortodoxo querer conhecer mundo jovem fugir advogado Mark ruffalo viajar continente exigir igualdade libertação roteiro sensacional história parecer frankenstein filme mulher protagonista personagem ressuscitar cérebro bebê começo trama ver bella viver casa dr. Godwin Baxter trazido volta vida dificuldade andar corretamente falar exibir comportamento infantil conforme bella evoluir descobrir coisa decidir sair descobrir mundo bello fugir advogado começar jornada mundo de aí apresentar mundo narrativa acontecer bella longo realizar maestria tarefo mostrar ingenuidade bello apresentar ela situação social precisar adotar certo comportamento conhecimento adequado de esse cenário conhecer mundo coisa funcionar adequado amadurecer bella colocar várias situação obrigar aprender lidar de ela advogado desenvolver amadurecer desejar livre imposição sociedade arco narrativo bella construir começo longo bella começar jeito totalmente diferente trajetória transformação sofrer jornada fazer direção arte excelente cenário construir longo retratar fielmente época narrativa passar tornar verossímil ajudar espectador compreender história ocorrer passado figurino excelente filme passar vitoriano roupa personagem usar semelhante vestuário época maquiagem filme incrível principalmente Willem dafoe espectador realmente acreditar dr. cara desfigurar cheio cicatriz fotografia sensacional filme começar preto branco personagem bello conhecer mundo fazer transição cor mudança ótimo recurso preto branco representar início vido bello marcar confinamento casa doutor mudança cor simbolizar jornada descoberto apesar longo sombrio colorir uso cor fazer maestria significado capaz gerar diferente sentimento sensação presença cor contribuir construção ambientação filme enquadramento fazer utilizar eficaz plano geral frequentemente empregar mostrar cenário apresentar mundo passar trama plano fechar aplicar maneira eficiente mostrar emoção expressão personagem enquadramento recorrente colocar personagem círculo assemelha olho enquadramento gerar várias interpretação significado alguém estar observar personagem olho observador certo poder se argumentar espectador participar história observar personagem ambiguidade permitir espectador interprete maneira edição filme montagem organizar deixar claro história estar bella deslocar país outro informar corte executar garantir narrativa progrida fluido proporcionar ritmo agradável dinamismo trilha sonoro longo variar acordo acontecer cena bello situação descobrir música transmitir sensação novidade bello enfrentar situação desafiadoro perigoso trilha proporcionar sensação tensão ator trabalhar principalmente Emma stone mark ruffalo emma Stone brilha papel bella Baxter conseguir mostrar evolução personagem atuação demonstrar mudança comportamento bella indicar oscar bom atriz favorito levar estatueto Mark ruffalo interpretar advogado performance apresentar natureza advogado lidar bella conhecimento mundo filme dirigir yorgo lanthimos possuir obra cinematográfico exceção direção caracterizar estilo yorgo utilizar diversos elemento recorrente trabalho personagem adulto atitude infantil comportamento estranho ocasional explosão violência longo uso travellings técnica marca registrar projeto anterior pobre criatura filme doido bizarro ser ruim simplesmente diferente estar acostumado ótimo entanto comum espectador ter experiência diferente ir gostar"
Patricia A.,1,pensar filme ruim criar pra lacrar quase 3 hora puro horror tédio percar dinheiro
JØN∆§,1,pobre criatura cineasta grego yorgo Lanthimos comédia dramático surrealista protagonizar ótima emma stone opinião filme fraco lanthimos junto sacrifício cervo sagrar muito molecagem pra conteúdo ... problema filme mensagem contraditório imoral devido livro adapta(que ler modificação fazer diretor roteirista pra ousadia tema moderno trama mensagem aliás torto pouquíssimo sútil ser design produção excelente atuação stone filme filminho militante medíocre diretor filme bom lagosta favorito recomendo valer pena
Carol3samm,1,achar filme decepcionante vida principalmente ser doloroso atuação incrível emma Stone merecer oscar de ela ruffalo merecer história problema filme tentar vender libertinagem belo empoderamento personagem feminino belo atuação Emma cérebro criança personagem ilusão disfarçar normalização romantização abuso infantil fazer cinema adaptar lolita sentir intenso repulsa ânsia vômito durante sessão personagem criança mentir “ fã “ filme peçar reimaginem criança idade mental papel emma stone tentar nojo impossível    lembrar ocasião discuti acalorar colega homem acreditar incrível parecer garota 13 ano corpo mulher dever liberdade sexual “ corpo tar pronto mulher tar pronto ” simplesmente nojento
Lilian,1,mau filme assisti último tempo ruim arrastar atuação emma Stone mau história inútil graça filme ridículo nojento
Camila Marques,1,filme ruim maluco desconexo sinopse algum teor filme fato de ela sentimento elatopa relacionar sexo detestar
Daniele Brito,1,gostar filme atriz papel gostar cenário figurino .... vazio conteúdo filme chato assistir novamente pagar pra cinema soubesse exagero cena sexo gente pensar tar tá entendi cadê história emocionar ri .... filme mornar
renatasuelem,1,pano Fundo história ok filme ruim cansativo acar tornar completamente repetitivo
Arthur,1,filme horrível cansativo sentido pobre criatura pagar assistir porcaria filme nota 8.4 imbd indicação oscar mostrar quão podre indústria filme
Art Drusila,1,sentir pobre criatura assistir narrativa feminista deturpar enfadonha bestializado resumir liberdade feminino dezena cena sex0 figurino fotografia merecer elogio cinema morrer filme acelerar processo
Robson G,1,horrivel péssimo crítico pra gostar cinema pior saudade tempo filme ter conteúdo
Rod Tol,1,piore filme ver titulo referir espectador pagar assistir recomendar
luiz leal,3,excelente filme excelente elenco conseguir traduzir jornada emancipatórer cor movimento experiência rechear referência filosófico filme conseguir trazer crítica social misturadas percepção jornada protagonista intenso cativante sombrio filme escondar privilégio social inserir mistura terror sedução riso sincero incômodo filme trazer intenso simbólico explícito indicar procurar distração filme banal óbvio conservador medíocre indicar afim pensar
Rodrigo Alves,1,filme perder ilusão feminismo burguês terminar entregar vergonhoso ode neoliberalismo prostituição apresentar emancipação mulher pueril mostrar revés associar condição exploratória filme ter prestar voz propagando encontrar barreira moral demagógico barreiro sociedade ocidental banqueiro fato estiver anunciar mulher percar empreender próprio corpo próprio meio produção emancipar patriarcado macho tóxico dominação capital cinicamente aceitar natural inatural mundo ... segmento ato insistir propaganda exagero dose marketing poder passar desperceber emma stone entregar script propagandar ser em este termo oscar certo  
carlinhosmcz,1,filme comum atuação Emma stone história simples rechear sexualidade valer assistir filme indicar
Rodrigo Gomes,1,interessante original extenso acabar cansativo empoderamento mover história ficar abusivamente sexualizar pra apresentar instinto básico humano curioso dizer
MAGRAOBL,2,24/04/2024r star plus]gostar filme fotografia cenografia fantástico elenco emma stone brilhante Willem dafoe gostar direção yorgos lanthimos modo conduzir filme usar olho peixe deixar certos momento bella Baxter estar ser observar eu sensação ...
